,factor
1916,22.55733083
1917,18.72152886
1918,15.93691899
1919,13.8734104
1920,11.97654691
1921,13.40837989
1922,14.31186643
1923,14.06033978
1924,14.03567251
1925,13.6913862
1926,13.55988701
1927,13.81750144
1928,14.01109165
1929,14.01109165
1930,14.37185629
1931,15.75902823
1932,17.57027818
1933,18.51929012
1934,17.92457058
1935,17.4806992
1936,17.31673882
1937,16.7137883
1938,17.03406671
1939,17.27933765
1940,17.10691376
1941,16.29395791
1942,14.72453988
1943,13.8734104
1944,13.63693182
1945,13.33388889
1946,12.28300921
1947,10.7435094
1948,9.967192691
1949,10.06331237
1950,9.967192691
1951,9.2382602
1952,9.03992467
1953,8.972336449
1954,8.928943452
1955,8.962285288
1956,8.830389993
1957,8.526110124
1958,8.299100968
1959,8.23079561
1960,8.102970966
1961,8.021724599
1962,7.931592862
1963,7.838340954
1964,7.734772801
1965,7.604879594
1966,7.394023413
1967,7.185928144
1968,6.89683908
1969,6.545132261
1970,6.179454171
1971,5.924709948
1972,5.735005974
1973,5.399550056
1974,4.865396311
1975,4.457838039
1976,4.215138743
1977,3.959907606
1978,3.680006133
1979,3.307289514
1980,2.913449866
1981,2.639502914
1982,2.487150259
1983,2.409738956
1984,2.310009625
1985,2.230576208
1986,2.189872263
1987,2.112764085
1988,2.028825021
1989,1.935564516
1990,1.83634277
1991,1.762187959
1992,1.710691376
1993,1.660968858
1994,1.619500675
1995,1.574868766
1996,1.529700446
1997,1.495389408
1998,1.472453988
1999,1.440636255
2000,1.393786295
2001,1.355223038
2002,1.334130072
2003,1.304402174
2004,1.270566437
2005,1.228929852
2006,1.190525794
2007,1.157567281
2008,1.114770088
2009,1.11871912
2010,1.100660369
2011,1.066995643
2012,1.045385252
2013,1.030262706
2014,1.013812621
2015,1.012614969
2016,1
